"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
9,"California",1,2030,2041,2033,2026,2010,1995,1983,1975,1973,1975,1983,1990,1996,1997,1994,1988,1982,1979,1976,1976,1979,1985,1989,1996,2002,2005,2006,2006,2008,2011,2019,2030,2041,2052,2061,2073,2086,2098,2103,2103,2102,2102,2100,2098,2103,2113,2140,2168,2194,2216,2232,2243,2255,2262,2273,2287,2305,2322,2339,2354,2364,2373,2378,2384,2387,2390,2390,2397,2408,2421,2432,2445,2456,2462,2463,2461,2455,2449,2448,2453,2462,2473,2484,2489,2487,2484,2480,2481,2476,2475,2480,2486,2492,2501,2505,2508,2513,2515,2516,2516,2516,2514,2510,2508,2513,2521,2530,2537,2542
54,"Texas",2,1061,1073,1076,1074,1071,1064,1058,1056,1057,1060,1064,1065,1064,1061,1055,1050,1047,1045,1046,1046,1048,1053,1060,1069,1075,1075,1073,1074,1079,1082,1088,1096,1108,1120,1129,1139,1147,1156,1169,1177,1181,1183,1183,1188,1195,1203,1218,1231,1242,1248,1253,1257,1260,1264,1269,1278,1288,1298,1307,1314,1318,1319,1317,1316,1316,1315,1315,1316,1320,1326,1333,1338,1341,1339,1335,1328,1323,1318,1316,1317,1321,1328,1331,1333,1330,1328,1327,1325,1324,1324,1326,1328,1331,1334,1338,1340,1343,1345,1349,1350,1350,1348,1344,1342,1344,1348,1353,1357,1359
43,"New York",3,1582,1619,1635,1639,1634,1628,1620,1617,1615,1618,1626,1635,1642,1646,1646,1645,1646,1649,1654,1662,1672,1684,1696,1702,1705,1706,1712,1717,1725,1729,1736,1744,1762,1784,1807,1824,1841,1855,1873,1885,1891,1893,1896,1905,1910,1913,1920,1945,1959,1970,1976,1972,1972,1975,1990,2002,2019,2030,2060,2089,2116,2134,2143,2152,2158,2159,2162,2165,2169,2173,2183,2199,2212,2225,2230,2233,2235,2223,2216,2200,2193,2193,2200,2208,2207,2204,2199,2199,2198,2190,2188,2188,2190,2196,2202,2212,2218,2219,2219,2223,2225,2220,2213,2207,2205,2208,2211,2215,2221
14,"Florida",4,1246,1257,1264,1273,1278,1282,1282,1282,1282,1286,1289,1291,1291,1290,1289,1288,1289,1289,1291,1294,1298,1302,1306,1310,1312,1314,1317,1320,1323,1325,1327,1330,1335,1343,1351,1361,1371,1382,1400,1410,1418,1421,1421,1419,1418,1416,1419,1424,1432,1440,1448,1455,1463,1472,1477,1483,1491,1497,1502,1506,1512,1517,1525,1534,1543,1553,1555,1556,1559,1563,1567,1572,1574,1576,1578,1582,1582,1579,1573,1569,1565,1564,1563,1563,1558,1555,1554,1556,1561,1564,1568,1569,1569,1568,1567,1567,1570,1575,1582,1588,1591,1595,1599,1601,1604,1609,1614,1618,1620
21,"Illinois",5,1356,1394,1404,1407,1394,1382,1375,1372,1373,1373,1375,1378,1380,1378,1372,1365,1356,1351,1350,1346,1349,1349,1354,1363,1373,1379,1377,1369,1363,1357,1360,1373,1383,1391,1395,1405,1414,1419,1424,1427,1431,1433,1432,1433,1440,1442,1448,1453,1469,1475,1473,1467,1468,1467,1466,1464,1466,1472,1475,1482,1486,1487,1483,1484,1479,1479,1475,1480,1488,1495,1499,1501,1503,1497,1493,1486,1480,1476,1473,1477,1484,1492,1502,1505,1505,1505,1499,1493,1486,1489,1494,1499,1508,1524,1533,1537,1538,1538,1535,1531,1530,1527,1528,1531,1539,1548,1556,1561,1563
47,"Pennsylvania",6,1152,1149,1143,1135,1123,1112,1107,1104,1104,1107,1111,1115,1118,1114,1107,1098,1092,1093,1099,1108,1118,1127,1131,1133,1131,1127,1122,1117,1115,1113,1115,1120,1126,1134,1144,1151,1153,1154,1150,1145,1142,1141,1139,1138,1139,1141,1149,1159,1167,1170,1172,1170,1169,1167,1168,1170,1175,1181,1189,1194,1196,1197,1195,1193,1193,1192,1192,1196,1202,1210,1217,1219,1219,1217,1212,1208,1205,1203,1203,1206,1210,1216,1222,1225,1224,1221,1218,1216,1216,1216,1218,1220,1225,1231,1235,1238,1238,1238,1239,1239,1240,1240,1241,1244,1250,1257,1264,1269,1273
44,"Ohio",7,845,849,852,852,859,861,862,864,867,872,878,885,887,887,884,880,881,881,882,880,877,876,875,877,881,883,885,884,881,879,877,878,881,885,889,892,897,901,904,905,904,904,904,902,904,907,919,931,940,943,940,938,938,942,947,954,964,975,981,985,989,992,991,987,983,979,976,974,977,981,986,989,990,989,985,981,975,969,966,965,969,976,984,988,990,990,987,984,981,978,977,978,985,994,999,1000,1000,1002,1002,1005,1007,1008,1009,1011,1016,1020,1025,1029,1033
30,"Michigan",8,1016,1065,1082,1090,1082,1066,1051,1042,1045,1049,1058,1067,1069,1038,999,967,948,938,935,937,944,950,955,959,964,969,971,969,964,958,954,955,960,969,977,987,999,1012,1020,1022,1017,1015,1013,1011,1012,1015,1026,1035,1043,1048,1048,1046,1047,1048,1053,1058,1066,1076,1083,1087,1089,1092,1094,1095,1095,1096,1096,1099,1104,1113,1120,1127,1134,1136,1136,1134,1130,1128,1125,1127,1133,1142,1153,1163,1168,1169,1166,1162,1154,1148,1146,1147,1152,1164,1174,1180,1182,1182,1178,1175,1174,1171,1168,1169,1172,1178,1186,1193,1196
16,"Georgia",9,1005,1020,1027,1032,1031,1030,1028,1028,1028,1031,1034,1035,1035,1034,1032,1029,1027,1024,1022,1019,1019,1020,1021,1022,1020,1019,1017,1014,1012,1010,1010,1013,1020,1029,1037,1045,1054,1061,1066,1069,1069,1069,1069,1071,1074,1077,1085,1094,1103,1112,1120,1125,1132,1137,1141,1145,1150,1158,1166,1173,1179,1182,1185,1188,1193,1197,1199,1202,1208,1216,1225,1232,1237,1240,1240,1239,1239,1239,1240,1243,1249,1257,1264,1269,1271,1272,1268,1264,1261,1261,1263,1266,1271,1280,1286,1291,1295,1298,1300,1303,1304,1307,1313,1319,1327,1335,1345,1354,1360
36,"North Carolina",10,890,919,930,934,933,931,929,927,928,933,938,941,943,944,944,945,947,949,949,950,952,956,960,964,964,965,964,960,956,954,951,952,957,966,977,987,993,998,1002,1003,1000,999,997,996,996,998,1004,1011,1016,1018,1019,1018,1021,1024,1029,1036,1045,1054,1060,1064,1069,1069,1068,1065,1066,1066,1069,1074,1081,1089,1097,1102,1108,1110,1109,1109,1108,1106,1106,1108,1114,1120,1128,1133,1135,1134,1132,1130,1132,1135,1138,1142,1148,1156,1161,1165,1166,1168,1171,1175,1177,1178,1178,1181,1186,1193,1201,1207,1211
